year,month,month_name,station_id,station_name,network_name,state_code,PM2.5,PM10,O3,NO2,NOx,CO
2001.0,4.0,Abril,271,Xalostoc,Valle de México,15.0,,,,,,
2001.0,5.0,Mayo,102,Centro,Guadalajara,0.0,,,,,,
2001.0,5.0,Mayo,103,Las Águilas,Guadalajara,0.0,,,,,,
2001.0,5.0,Mayo,106,Miravalle,Guadalajara,0.0,,,,,,
2001.0,5.0,Mayo,109,Tlaquepaque,Guadalajara,0.0,,,,,,
2001.0,5.0,Mayo,125,Metepec,Toluca,0.0,,,,,,
2001.0,5.0,Mayo,126,Oxtotitlán,Toluca,0.0,,,,,,
2001.0,5.0,Mayo,128,San Mateo Atenco,Toluca,0.0,,,,,,
2001.0,5.0,Mayo,139,Santa Catarina,Monterrey,19.0,,,,,,
2001.0,5.0,Mayo,140,San Bernabé,Monterrey,19.0,,,,,,
2001.0,5.0,Mayo,141,Obispado,Monterrey,19.0,,,,,,
2001.0,5.0,Mayo,142,San Nicolás,Monterrey,19.0,,,,,,
2001.0,5.0,Mayo,143,La Pastora,Monterrey,19.0,,,,,,
2001.0,5.0,Mayo,161,Agua Santa,Puebla,21.0,,,,,,
2001.0,5.0,Mayo,162,Las Ninfas,Puebla,21.0,,,,,,
2001.0,5.0,Mayo,256,Merced,Valle de México,9.0,,,,,,
2001.0,5.0,Mayo,260,San Agustín,Valle de México,15.0,,,,,,
2001.0,5.0,Mayo,266,Tlalnepantla,Valle de México,15.0,,,,,,
2001.0,5.0,Mayo,268,UAM Iztapalapa,Valle de México,9.0,,,,,,
2001.0,5.0,Mayo,271,Xalostoc,Valle de México,15.0,,,,,,
2001.0,6.0,Junio,102,Centro,Guadalajara,0.0,,,,,,
2001.0,6.0,Junio,103,Las Águilas,Guadalajara,0.0,,,,,,
2001.0,6.0,Junio,106,Miravalle,Guadalajara,0.0,,,,,,
2001.0,6.0,Junio,109,Tlaquepaque,Guadalajara,0.0,,,,,,
2001.0,6.0,Junio,125,Metepec,Toluca,0.0,,,,,,
2001.0,6.0,Junio,126,Oxtotitlán,Toluca,0.0,,,,,,
2001.0,6.0,Junio,128,San Mateo Atenco,Toluca,0.0,,,,,,
2001.0,6.0,Junio,139,Santa Catarina,Monterrey,19.0,,,,,,
2001.0,6.0,Junio,140,San Bernabé,Monterrey,19.0,,,,,,
2001.0,6.0,Junio,141,Obispado,Monterrey,19.0,,,,,,
2001.0,6.0,Junio,142,San Nicolás,Monterrey,19.0,,,,,,
2001.0,6.0,Junio,143,La Pastora,Monterrey,19.0,,,,,,
2001.0,6.0,Junio,161,Agua Santa,Puebla,21.0,,,,,,
2001.0,6.0,Junio,162,Las Ninfas,Puebla,21.0,,,,,,
2001.0,6.0,Junio,256,Merced,Valle de México,9.0,,,,,,
2001.0,6.0,Junio,260,San Agustín,Valle de México,15.0,,,,,,
2001.0,6.0,Junio,266,Tlalnepantla,Valle de México,15.0,,,,,,
2001.0,6.0,Junio,268,UAM Iztapalapa,Valle de México,9.0,,,,,,
2001.0,6.0,Junio,271,Xalostoc,Valle de México,15.0,,,,,,
2001.0,7.0,Julio,102,Centro,Guadalajara,0.0,,,,,,
2001.0,7.0,Julio,103,Las Águilas,Guadalajara,0.0,,,,,,
2001.0,7.0,Julio,106,Miravalle,Guadalajara,0.0,,,,,,
2001.0,7.0,Julio,109,Tlaquepaque,Guadalajara,0.0,,,,,,
2001.0,7.0,Julio,125,Metepec,Toluca,0.0,,,,,,
2001.0,7.0,Julio,126,Oxtotitlán,Toluca,0.0,,,,,,
2001.0,7.0,Julio,128,San Mateo Atenco,Toluca,0.0,,,,,,
2001.0,7.0,Julio,139,Santa Catarina,Monterrey,19.0,,,,,,
2001.0,7.0,Julio,140,San Bernabé,Monterrey,19.0,,,,,,
2001.0,7.0,Julio,141,Obispado,Monterrey,19.0,,,,,,
2001.0,7.0,Julio,142,San Nicolás,Monterrey,19.0,,,,,,
2001.0,7.0,Julio,143,La Pastora,Monterrey,19.0,,,,,,
